,0,0,0,0
0,03/05/2018 12:00:40.21,KRiSO__,cohhHi cohhHi cohhBoop,0.0
1,03/05/2018 12:00:40.46,SMonTwitch,cohhHi cohhL,0.0
2,03/05/2018 12:00:40.64,MrMxyzptlk83,cohhHi,0.0
3,03/05/2018 12:00:40.72,Goonstrom,cohhHi,0.0
4,03/05/2018 12:00:40.72,theVladSima,hi pal_me,0.0
5,03/05/2018 12:00:40.99,nuuriell,cohhHi,0.0
6,03/05/2018 12:00:41.33,TheDazzledLynx,"cohhHi Cohh, cohhHi chat. cohhL cohhL cohhL",0.0
7,03/05/2018 12:00:41.55,Ashcrowx,cohhHi cohhHi,0.0
8,03/05/2018 12:00:41.58,Hexxman007,cohhHi,0.0
9,03/05/2018 12:00:41.68,Tanaard,cohhHi,0.0
10,03/05/2018 12:00:41.75,Zirlas,cohhHi pal_me cohhGV cohhML cohhWow,0.0
11,03/05/2018 12:00:42.63,Zayvion,cohhHi Morning cohh and chat hows everyone doing this Morning!,0.0
12,03/05/2018 12:00:43.24,xFictionOfDeath,cohhHi cohhLetho,0.0
13,03/05/2018 12:00:43.25,Sirul21,cohhHi Doctor_Yiggles,0.0
14,03/05/2018 12:00:43.31,MaddPanda,cohhHi cohhHi cohhH cohhGV cohhBoop,0.0
15,03/05/2018 12:00:43.44,Shorinji45,cohhHi,0.0
16,03/05/2018 12:00:43.52,nuuriell,cohhHi gamelord2009,0.0
17,03/05/2018 12:00:43.69,MrWess_R,nuuriell cohhML cohhBoop,0.0
18,03/05/2018 12:00:44.34,Sabathius,cohhHi cohhHi cohhHi,0.0
19,03/05/2018 12:00:44.90,timetooflyagain,cohhHi cohhHi cohhHi,0.0
20,03/05/2018 12:00:44.95,0ffworld,cohhHi cohhHi,0.0
21,03/05/2018 12:00:45.70,Zirlas,cohhHi nuuriell cohhGV cohhML cohhCheer,0.0
22,03/05/2018 12:00:45.97,TheSh4d0w,cohhHI,0.0
23,03/05/2018 12:00:46.04,Hellowtine,cohhHi,0.0
24,03/05/2018 12:00:46.07,onmylvl_,cohhHi cohhHi,0.0
25,03/05/2018 12:00:46.15,Oim99,cohhHi,0.0
26,03/05/2018 12:00:46.32,TheShadow99_1,cohhHi cohhGShow cohhCup cohhSip cohhCheer,0.0
27,03/05/2018 12:00:46.53,nuuriell,cohhHi Sirul21,0.0
28,03/05/2018 12:00:46.63,TimeFactor,cohhHi,0.0
29,03/05/2018 12:00:46.65,Sekuso,cohhHi,0.0
30,03/05/2018 12:00:46.70,FoxHound146,cohhHi,0.0
31,03/05/2018 12:00:47.02,pal_me,hi Sirul21,0.0
32,03/05/2018 12:00:47.19,Light508,pal_me cohhWow cohhSip,0.0
33,03/05/2018 12:00:47.48,cypr1um,!cohhHi !,0.0
34,03/05/2018 12:00:47.96,RetroGoki,cohhSip cohhHi cohhML,0.0
35,03/05/2018 12:00:48.22,MorneFion,cohhHi,0.0
36,03/05/2018 12:00:48.39,PrimeTimeMax,RareLetho do do do RareLetho,0.0
37,03/05/2018 12:00:48.71,FuraiTHD,cohhHi,0.0
38,03/05/2018 12:00:48.76,Lil_Ciel,RareLetho RareLetho RareLetho RareLetho RareLetho,0.0
39,03/05/2018 12:00:48.92,theVladSima,@nuuriell @Doctor_Yiggles cohhHi cohhML cohhML,0.0
40,03/05/2018 12:00:49.05,m3rcer,RareLetho,0.0
41,03/05/2018 12:00:49.21,CohhilitionBot,cohhHi M3rcer. For the technology of Peace! Peace through Power! Ad Victoriam!,0.0
42,03/05/2018 12:00:49.53,oppernerd,cohhHi timetooflyagain,0.0
43,03/05/2018 12:00:49.68,nuuriell,cohhHi MrWess_R,0.0
44,03/05/2018 12:00:49.75,Archangelm,RareLetho,0.0
45,03/05/2018 12:00:49.90,pal_me,hi theVladSima,0.0
46,03/05/2018 12:00:50.36,DrMutant,cohhHi cohhHi cohhHi,0.0
47,03/05/2018 12:00:50.57,MrWess_R,pal_me cohhBoop cohhML,0.0
48,03/05/2018 12:00:50.57,HalleMjau,PO2 TOMO cohhLetho cohhLetho cohhLetho cohhLetho cohhLetho cohhLetho,0.0
49,03/05/2018 12:00:51.38,tron0905,cohhGG cohhHi,0.0
50,03/05/2018 12:00:51.50,FrozRektThee,RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho IT HAS BEGUN!!!,0.0
51,03/05/2018 12:00:52.10,kothove,cohhHi cohhD chat mods and CohhCarnage,0.0
52,03/05/2018 12:00:52.25,Miner49er20I,cohhH cohhH cohhH cohhH cohhH cohhH cohhH cohhH,0.0
53,03/05/2018 12:00:52.50,nuuriell,cohhHi Zirlas,0.0
54,03/05/2018 12:00:52.63,TheSh4d0w,cohhHi,0.0
55,03/05/2018 12:00:52.63,pal_me,hi Zirlas,0.0
56,03/05/2018 12:00:53.13,Light508,nuuriell cohhPts cohhSip,0.0
57,03/05/2018 12:00:53.21,x2bytwo,cohhHi,0.0
58,03/05/2018 12:00:53.61,oppernerd,cohhHi HalleMjau,0.0
59,03/05/2018 12:00:53.65,Swaider,cohhHi,0.0
60,03/05/2018 12:00:54.46,Mighty_Rabbit_,cohhHi everyone cohhSip cohhCheer,0.0
61,03/05/2018 12:00:54.54,nuuriell,cohhHi theVladSima,0.0
62,03/05/2018 12:00:54.71,PrimeTimeMax,@pal_me cohhRave cohhML,0.0
63,03/05/2018 12:00:54.82,helicaltower,cohhHi everyone,0.0
64,03/05/2018 12:00:54.97,kinghomer_,Happy Birthday to Laina \[T]/,0.8
65,03/05/2018 12:00:55.55,pal_me,hi Light508,0.0
66,03/05/2018 12:00:55.57,VeteranValor,@Sirul21 cohhHi cohhD cohhBoop,0.0
67,04/05/2018 11:48:49.81,Nightvaile,cohhi cohhHi cohhHi,0.0
68,03/05/2018 12:00:55.88,Twisteds_Fate,ohhhi,0.0
69,03/05/2018 12:00:56.40,BaineKiller,cohhHi,0.0
70,03/05/2018 12:00:56.92,Scientist__,RareLetho Libido cohhRave RareLetho Libido cohhRave RareLetho Libido cohhRave RareLetho Libido cohhRave,0.0
71,03/05/2018 12:00:57.27,MuseMuffin,RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho RareLetho,0.0
72,03/05/2018 12:00:57.95,pal_me,hi MrWess_R,0.0
73,03/05/2018 12:00:58.22,rawzen,cohhHi,0.0
74,03/05/2018 12:00:58.39,nuuriell,cohhHi kothove,0.0
75,03/05/2018 12:00:58.86,Sirul21,VeteranValor cohhHi,0.0
76,03/05/2018 12:00:59.77,jdpower13,cohhH danH,0.0
77,03/05/2018 12:01:0.37,VeteranValor,@PsychOnRails cohhHi cohhD cohhBoop,0.0
78,03/05/2018 12:01:0.97,Luxtra_,cohhHi hey chat and mods and cohhGV too you alle,0.0
79,03/05/2018 12:01:1.12,orhusby,cohhGHi Zirlas,0.0
80,03/05/2018 12:01:1.14,CohhilitionBot,cohhHi friendship is like peeing in your pants. everyone can see it but only you can feel its true warmth. thank you for being the pee in my pants Luxtra_ cohhBoop,0.175
81,03/05/2018 12:01:1.18,PrimeTimeMax,@nuuriell NomNom cohhML,0.0
82,03/05/2018 12:01:1.34,nuuriell,cohhHi Light508,0.0
83,03/05/2018 12:01:1.93,Deadite66,RareLetho cohhRave RareLetho cohhRave RareLetho cohhRave RareLetho cohhRave RareLetho cohhRave RareLetho,0.0
84,03/05/2018 12:01:2.17,pal_me,hi kothove,0.0
85,03/05/2018 12:01:2.61,theVladSima,@orhusby cohhHi cohhML,0.0
86,03/05/2018 12:01:2.67,Twisteds_Fate,cohhi,0.0
