,0,0,0
0,2018-05-11T13:00:25.77,Obfuscator7,PINK SCREN
1,2018-05-11T13:00:25.98,hegevik94,HeyGuys
2,2018-05-11T13:00:27.00,CptOblivious,POGGERS
3,2018-05-11T13:00:27.33,imarat,POGGERS
4,2018-05-11T13:00:27.47,epicdudeguyman,POGGERS Clap
5,2018-05-11T13:00:27.48,Heimingheha_,@AmazHS Hello
6,2018-05-11T13:00:27.7,SkyMaster3,POGGERS
7,2018-05-11T13:00:27.78,legobimo,KonCha
8,2018-05-11T13:00:28.15,michimochimocha,POGGERS
9,2018-05-11T13:00:28.29,cpkhavemybabiesplz,13 seconds late!
10,2018-05-11T13:00:28.42,Neonldas,ONLY 10 SECONDS LATE POGGERS
11,2018-05-11T13:00:28.70,hackerman110,!uptime
12,2018-05-11T13:00:28.73,OffBeatOddity,POGGERS
13,2018-05-11T13:00:29.46,StreamElements,"@hackerman110, amazhs has been offline for 18 hours 44 mins"
14,2018-05-11T13:00:29.97,fox3360,HeyGuys @AmazHS
15,2018-05-11T13:00:30.2,Obfuscator7,HeyGuys
16,2018-05-11T13:00:30.56,72oxDays,omg you idiots
17,2018-05-11T21:57:35.13709972,hypernexus00,pls help my son to become the hokage forsen1 forsen2
18,2018-05-11T21:58:53.66793466,hypernexus00,pls help my son to become the hokage forsen1 forsen2 forsen3 forsen4 forsen1337
19,2018-05-11T21:59:49.54443730,hypernexus00,forsen1 forsen2 hel my son to become the hokage forsen3 forsen4 forsen1337
20,2018-05-11T22:00:15.27632771,hypernexus00,forsen1 forsen2 hel my son to become the hokage forsen3 \ / forsen4
21,2018-05-11T22:00:46.38741104,hypernexus00,forsen1 forsen2 help my son to become the hokage forsen3 forsen4 forsen1337
22,2018-05-11T23:55:51.02805831,Balthznar,HeyGuys
23,2018-05-11T13:00:32.83,pathetic_appl3,POGGERS Clap
24,2018-05-11T13:00:33.16,Circles360,Yaaaaaaaay amaz.
25,2018-05-11T13:00:33.24,Quindecile,amaz3
26,2018-05-11T13:00:33.60,skadooah2,POGGERS
27,2018-05-11T13:01:11.89308909,kit432,HeyGuys
28,2018-05-11T13:00:34.34,AmazSlave,POGGERS
29,2018-05-11T13:00:35.9,Neonldas,UUUUUH amazDerp
30,2018-05-11T13:00:36.09,zjt2000,Hello Amaz POGGERS
31,2018-05-11T13:00:36.30,davyblade,monkaStare
32,2018-05-11T13:00:36.60,chrisselol,Hello Amaz. FeelsBirthdayMan Congrats
33,2018-05-11T13:00:41.85,MissTawnyKiss,amaz! HeyGuys
34,2018-05-11T13:00:42.1,チョマ,monkaS
35,2018-05-11T13:00:42.93,kevandaweeb,POGGERS
36,2018-05-11T13:00:44.01,Christian_HS,POGGERS
37,2018-05-11T13:00:44.22,72oxDays,PARTYYYYY
38,2018-05-11T13:00:44.78,Talynpl,POGGERS
